id,feature,weight,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
a132,rub,1,1,2,3,4,5/22,6,7,8,8,9,10,11,12,13,14,15,16,17,18,18,9/23,19,20,21
a133,salt,1,1,2,2,3,11,4,5,2,6,12,13,2,7,8,11,9,2,2,12,12,12,13,10,2
a134,sand,1,1,2,2,3,4,5,6,7,8/19,2,9,10,11,12,4,13,14,8,15,2,2,16,17,18
a135,say,1,1,2,3,4,17,5/6,6/17,7/18,1/8,8,9,10,11,12,13,4,14,8/19,15,8/15,8/15,16,10,10
a136,scratch,1,1,2,3,4/24,5,6/25,7,8,9/26,10/27,11,12,13,14,15,16,17,18,19,12,20,21,22,23
a137,sea,1,1,2,3,4,5,6,7,8,9,10,8/16,8,11,12,13,7,9,9,8,10/17,8/10,8,14,15
a138,see,1,1,2,3,4,5,6,7,8,9,10,11,8,12,13,5,7,8,14,10,10,10,15,16,8
a139,seed,1,1,2,2,3,4/5,6,7/8,9,10,11,12,9,1,18,4/5,13,9,10,14,14,9,15,16,17
a140,sew,1,1,2,3,4,5,6,7,6,6,6,8,6,9,10,11,12,13,6,6,18,14,15,16,17
a141,sharp,1,1,2/19,3/20,4,16/21,5,17,18,18,6/7,8/22,19,9,10,11,17,12,20,6,6/7,6/7,13/23,14,15
a142,short,1,1,2,3,4,5,6,3,7,8,9,10/19/20,3,1,11,12,13,14,14,15,16,16/21,10/22,17,18
a143,sing,1,1,2,3,4,5,6,7,5,8,9,10,10,11,12,5,13,14,15,9,9/17,9,10,16,10
a144,sit,1,1,2,1,3,1/4,1,1,2,2,8,9,2,1,5,4,6,10,2,8,8,8,11,7,2
a145,skin,1,1,2,3/19,4,5,6,7,8,9,10,11,10,12,13,5,14,10,9,15,10/20,10/15,16,17,18
a146,sky,1,1,2,3,4,5,6,6/7,1,8,9,10,11,1,12,13,14,8,1,9,9,9,15,16,17
a147,sleep,1,1,2,3,4,5,1,6,6,7,8,9,10,11,12,5,13,7,14,8,6,8,15/16,17,18
a148,small,1,1,2,3,4,5/19,6,7,8,9,10/11,12,13,14,15,5/20,16,5,9,10,10/21,10/11,12/22,17,18
a149,smell,1,1,2,2,3/20,4,5,6,7,8,9,10,2,11,12,4,13,14,2/21,15,16,9,17,18,19
a150,smoke,1,1,2,3,4,5,17,6,17,17,7/18,9,17,10,11,12,13,17,17,14,7,7,8,15,16
a151,smooth,1,1,2,3,4,5,6,7,8,8,9,10,3,11,12,13,14,15,8,16,16,16/20,17,18,19
a152,snake,1,1,2,3,4,5/2,3,3,6,7,8/9/10,9,11,12,13,5,14,11,15,8/9,8/9,8/9,9/16,17,18
a153,snow,1,1,2,2,3,4,2,5,6,6,6,7,8,9,10,11,12,6,6,6,6,6,13,14,15
a154,some,1,1,14,2,3,4,15,5,16/20,17,18,6,19,7,8,4,15,9,10,18,18,18,11,12,13
a155,spit,1,1,2,3,4,5,6,3,3,3,3,7,3,8,9,10,11,12,3,3,3,3,13,14,15
a156,split,1,1,1/18,2,3,4,5,6,7,17,8,9,2/5,10,11,4,12,13,17/19,14,8,8/20,1,15,16
a157,squeeze,1,1,2,3,4,5/21,3,6,7,8,9,10,11,12,13,14,15,16,17,9,9,18,10,19,20
a158,stand,1,1,2,3,4,5,3,3,9,6,7,3,8,3,3,5,3,3,6,7,7,7/9,3,8,8
a159,star,1,1,1,1,2,11,1,1,3,3,12,4,1,5,6,11,7,8,3,12,12,12,1,9,10
a160,stick,1,1,2/23,3/24,4/25,5,6,7,8,9/26,10,11,3,12,13,14,15,9,16/27,17,18,19/28,20/29,21,22
a161,stone,1,1,2/16,3,4,5,6,6,6,6,7,8/17,9,10,11,12,6/18,13,6,7,7,7,14/19,15,9
a162,straight,1,1,2,3,4,5,6,6,7,8,17,6,17,9,10,11,12,13,8/18,17,17/19,17,14,15,16
a163,suck,1,1,2/17,2,3,4,2,5,15,6/18,16,2/19,16,7,8,9,10,11,6,12,16,16,2/20,13,14
a164,sun,1,1,2,3,4,5,3,3,3,12,13,6,3,11,7,5,8,12,12,3/13,3,13,3,9,10
a165,swell,1,1,2/21,2,3,4,5,5,6,7/22,8,9,10,11,12,13,14,15,16/23,17,8/24,8,18,19,20
a166,swim,1,1,2,3,4,3,2,5,2,6,7,3,3,8,9,10,11,12,13,14,7,7,3,15,16
a167,tail,1,1,2,3,4,5,6,7,8,9,10,23,11,12,13,14,15,16,17,18,19,10,20,21,22
a168,that,1,1,2,3,4,4,4,4,4/5/6,4,4,4,7,1,8,4,9,4,4,4,4,4,4,7,7
a169,there,1,2,3,5,6,6/1,6,8,6,6,6,9,7,10,11,6,4,6,6,6,6,6,12,7,7
a170,they,1,1,2,3,4,4,4,4,1/5,1,6,1,1,1/7,1/7,4,8,4/5,9,1,4,4,4,1,1
a171,thick,1,1,2,3,4,5,3/20,6,7,8,9,9/21,10,11,12,13,14,15,16/22,17,9,9,9,18,19
a172,thin,1,1,2,3,4,5,6,7,6,8,6,6/17,6,9,10,11,12,13,6,14,6,6,6,15,16
a173,think,1,1,2,3,4,5,6/18,6,7,8/19,9/10,11/20,12,6,13,5,6,14,18,9/21,9,10,15,16,17
a174,this,1,1,1,2,3,2,4,4,1/5,1,6,2,7,1,8,2,2/4,1,1,2,6,6,2,4,4
a175,thou,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3
a175a,thee,1,2,2,2,2,2,2,2,2,1,2,3,2,2,3,2,2,1,4,6,6,6,3,5,2
a176,three,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a177,throw,1,1,2/16,3/17,4,5/18,1/19,1/20,6/21,6,7,8/22/23,9,10,11,12,1,6,6/24,7,7/25,7,13,14,15
a178,tie,1,1/14,2,3,4,5/15,1/3/6/7,1/6,8/16,9,6/17,7/10/18,4,1/19,11,5,6,9,1,6,6,6,10/20,12,13
a179,tongue,1,1,2,3,4,8,9,15,10,11,12,13,2,1,5,8,15,10,6,12,12,12,13,14,7
a180,tooth,1,1,2,2,3,3,2,2,3,2,2,2,2,4,5,3,6,2,3,2,2,2,2,2,7
a181,tree,1,1,2,19,1,3,4,5,1/20,6,18,7,8,9,10,3,11,12,13,14,18,17,7/21,15,16
a182,turn,1,1/16,2,3/17,4/18,5/19,6/20,7,8,6,9,10,6,11,12,5,6,6,6/21,9,13/22,9/23,14,15,6
a183,two,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1
a184,vomit,1,1,2,3,4,5,3,3,6,3,7,8,3,9,10,11,12,3,3,13,7,7,8/14,15,16
a185,walk,1,2,3,4,5,1,6,6,1/7,1,8/9,10/11,12,13,14,1,15,16,1/17,8,8,8/9,18,19,12
a186,warm,1,1,2,2,3,4,5,2/6,6,7,8,6,6,9,10,11,12,13,7,8,8,8,6,14,15
